,mfcc00,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11
mean,-789.627709961,115.601365153,-21.9452349027,-31.2399723053,-45.186198722,-50.3631999546,-37.5658822801,-29.839037874,-29.9375748528,-17.6326993094,-15.3654606077,-14.681359503
med,-791.432495117,113.536712646,-17.0575332642,-32.0782089233,-46.3380203247,-50.2753143311,-37.0989494324,-30.0858726501,-29.6173305511,-17.5845336914,-15.6075782776,-14.3968706131
var,1880.49759098,161.473033352,156.067414581,25.319928327,63.8934375445,11.8157861367,13.7135343576,11.2564484737,10.1980268933,3.81847005901,3.21459136687,6.65972981739
std,43.3647044378,12.7072039943,12.4926944484,5.03189112829,7.99333707187,3.43740980051,3.70317895295,3.35506311025,3.19343496776,1.95409059642,1.79292815441,2.58064523277
